Country,Year,TemperatureAnomaly
United States,2010,1.3770484814212285
United States,2011,1.2519625439346291
United States,2012,0.7245791346134138
United States,2013,1.2225649648362666
United States,2014,1.4162835283659818
United States,2015,1.3908989174588453
United States,2016,0.40425534289332593
United States,2017,1.2523762260220788
United States,2018,0.27309590780439624
United States,2019,0.3881125134104917
United States,2020,0.6272769547731867
India,2010,1.494213538816118
India,2011,1.216198114290638
India,2012,0.7413016098805343
India,2013,1.2590043308187415
India,2014,1.1334394540204458
India,2015,0.579840383401421
India,2016,0.7159103540184064
India,2017,0.5830246038446958
India,2018,1.4514731603713196
India,2019,0.5366210681122215
India,2020,0.585077430174555
China,2010,1.1852759484741255
China,2011,1.2026553995585803
China,2012,1.1679960620722547
China,2013,0.58420341863476
China,2014,0.9144638701902055
China,2015,0.7714660724180549
China,2016,1.3492384738569636
China,2017,0.22809954358858628
China,2018,0.36618794656795045
China,2019,0.8492672813896065
China,2020,1.3382610511820592
Germany,2010,0.3515514840510726
Germany,2011,1.1161683403814897
Germany,2012,1.3489503555927456
Germany,2013,0.9075606544997334
Germany,2014,1.0269382400183253
Germany,2015,0.8949814698512277
Germany,2016,1.405253426523586
Germany,2017,1.0856371392201514
Germany,2018,1.1539323001628525
Germany,2019,0.5753037730035855
Germany,2020,0.814820817417871
Brazil,2010,0.3814363837477852
Brazil,2011,0.32427459391446134
Brazil,2012,1.1230812309701488
Brazil,2013,0.4521068245659189
Brazil,2014,1.4126387015036923
Brazil,2015,0.2398775715378197
Brazil,2016,0.35998393080174584
Brazil,2017,1.4439217007390404
Brazil,2018,0.8470741577897789
Brazil,2019,0.47640820235017345
Brazil,2020,0.4869737779580891
